CustomerID,Product,Category,Quantity,Price,Rating,TotalAmount,Date,City,PaymentMethod,Month,DayOfWeek,Hour,Year
1636,Tablet,Electronics,1,27587.86,1,27587.86,2022-01-01 00:00:00,Chennai,UPI,1,5,0,2022
1318,Sunglasses,Accessories,1,1395.9,4,1395.9,2022-01-01 01:00:00,Mumbai,Card,1,5,1,2022
1086,Watch,Accessories,2,5351.19,4,10702.38,2022-01-01 02:00:00,Bangalore,UPI,1,5,2,2022
1552,T-Shirt,Clothing,5,549.88,2,2749.4,2022-01-01 03:00:00,Hyderabad,UPI,1,5,3,2022
1981,Charger,Electronics,5,773.71,3,3868.55,2022-01-01 04:00:00,Hyderabad,UPI,1,5,4,2022
1697,Tablet,Electronics,5,29320.21,4,146601.05,2022-01-01 05:00:00,Hyderabad,Card,1,5,5,2022
1865,Backpack,Accessories,5,1861.8,3,9308.98,2022-01-01 06:00:00,Chennai,Card,1,5,6,2022
1891,T-Shirt,Clothing,1,473.57,3,473.57,2022-01-01 07:00:00,Bangalore,UPI,1,5,7,2022
1846,T-Shirt,Clothing,3,492.46,2,1477.39,2022-01-01 08:00:00,Mumbai,COD,1,5,8,2022
1777,Keyboard,Electronics,4,1913.76,5,7655.02,2022-01-01 09:00:00,Mumbai,UPI,1,5,9,2022
1782,Charger,Electronics,3,832.23,5,2496.68,2022-01-01 10:00:00,Chennai,NetBanking,1,5,10,2022
1041,Headphones,Electronics,3,3022.71,5,9068.13,2022-01-01 11:00:00,Mumbai,UPI,1,5,11,2022
1092,Phone,Electronics,1,53222.97,4,53222.97,2022-01-01 12:00:00,Mumbai,Card,1,5,12,2022
1696,Jeans,Clothing,4,1567.36,4,6269.43,2022-01-01 13:00:00,Bangalore,Card,1,5,13,2022
1726,Monitor,Electronics,5,18512.4,3,92562.01,2022-01-01 14:00:00,Chennai,Card,1,5,14,2022
1506,Phone,Electronics,1,46233.89,3,46233.89,2022-01-01 15:00:00,Chennai,UPI,1,5,15,2022
1528,Laptop,Electronics,1,86330.38,5,86330.38,2022-01-01 16:00:00,Hyderabad,Card,1,5,16,2022
1955,Jeans,Clothing,4,1595.85,5,6383.41,2022-01-01 17:00:00,Mumbai,NetBanking,1,5,17,2022
1264,Jeans,Clothing,2,1490.38,5,2980.75,2022-01-01 18:00:00,Delhi,NetBanking,1,5,18,2022
1625,Pen,Stationery,1,46.3,4,46.3,2022-01-01 19:00:00,Bangalore,UPI,1,5,19,2022
1291,Webcam,Electronics,3,2699.29,5,8097.86,2022-01-01 20:00:00,Bangalore,UPI,1,5,20,2022
1968,Book,Stationery,3,283.84,5,851.53,2022-01-01 21:00:00,Delhi,UPI,1,5,21,2022
1463,Watch,Accessories,5,4535.53,3,22677.67,2022-01-01 22:00:00,Hyderabad,UPI,1,5,22,2022
1803,Watch,Accessories,1,5424.24,3,5424.24,2022-01-01 23:00:00,Delhi,UPI,1,5,23,2022
1559,Backpack,Accessories,5,2123.57,4,10617.87,2022-01-02 00:00:00,Delhi,UPI,1,6,0,2022
1818,Jeans,Clothing,1,1558.04,3,1558.04,2022-01-02 01:00:00,Hyderabad,NetBanking,1,6,1,2022
1096,Sunglasses,Accessories,4,1360.21,5,5440.84,2022-01-02 02:00:00,Delhi,Card,1,6,2,2022
1886,Headphones,Electronics,1,3017.06,3,3017.06,2022-01-02 03:00:00,Hyderabad,NetBanking,1,6,3,2022
1094,Mouse,Electronics,2,1030.73,4,2061.45,2022-01-02 04:00:00,Mumbai,NetBanking,1,6,4,2022
1325,Backpack,Accessories,3,2103.74,4,6311.22,2022-01-02 05:00:00,Hyderabad,Card,1,6,5,2022
1073,Tablet,Electronics,4,29826.44,4,119305.77,2022-01-02 06:00:00,Chennai,Card,1,6,6,2022
1335,Speaker,Electronics,3,4362.68,3,13088.04,2022-01-02 07:00:00,Chennai,COD,1,6,7,2022
1067,Tablet,Electronics,5,28468.69,5,142343.43,2022-01-02 08:00:00,Delhi,Card,1,6,8,2022
1757,Notebook,Stationery,4,182.79,3,731.16,2022-01-02 09:00:00,Chennai,Card,1,6,9,2022
1917,Keyboard,Electronics,2,1933.11,5,3866.21,2022-01-02 10:00:00,Hyderabad,NetBanking,1,6,10,2022
1076,Jacket,Clothing,3,4129.44,5,12388.33,2022-01-02 11:00:00,Mumbai,UPI,1,6,11,2022
1207,Notebook,Stationery,1,209.49,2,209.49,2022-01-02 12:00:00,Hyderabad,Card,1,6,12,2022
1883,Speaker,Electronics,1,4190.8,5,4190.8,2022-01-02 13:00:00,Bangalore,UPI,1,6,13,2022
1765,Phone,Electronics,1,46106.74,4,46106.74,2022-01-02 14:00:00,Delhi,NetBanking,1,6,14,2022
1220,Sunglasses,Accessories,4,1615.53,4,6462.11,2022-01-02 15:00:00,Mumbai,NetBanking,1,6,15,2022
1261,Watch,Accessories,2,4780.83,4,9561.67,2022-01-02 16:00:00,Delhi,Card,1,6,16,2022
1409,Tablet,Electronics,2,28259.47,4,56518.93,2022-01-02 17:00:00,Bangalore,Card,1,6,17,2022
1330,Jeans,Clothing,2,1534.34,2,3068.67,2022-01-02 18:00:00,Chennai,NetBanking,1,6,18,2022
1343,Charger,Electronics,3,753.9,5,2261.69,2022-01-02 19:00:00,Bangalore,Card,1,6,19,2022
1988,Watch,Accessories,4,5008.04,4,20032.15,2022-01-02 20:00:00,Chennai,COD,1,6,20,2022
1770,Headphones,Electronics,1,2944.22,2,2944.22,2022-01-02 21:00:00,Delhi,Card,1,6,21,2022
1819,Jacket,Clothing,3,3785.63,5,11356.88,2022-01-02 22:00:00,Delhi,NetBanking,1,6,22,2022
1073,Pen,Stationery,2,47.92,5,95.84,2022-01-02 23:00:00,Delhi,Card,1,6,23,2022
1636,Keyboard,Electronics,1,1970.96,4,1970.96,2022-01-03 00:00:00,Hyderabad,Card,1,0,0,2022
1699,Notebook,Stationery,4,193.85,2,775.39,2022-01-03 01:00:00,Mumbai,UPI,1,0,1,2022
1253,Charger,Electronics,5,781.05,4,3905.26,2022-01-03 02:00:00,Hyderabad,UPI,1,0,2,2022
1958,Keyboard,Electronics,2,2094.17,2,4188.35,2022-01-03 03:00:00,Bangalore,NetBanking,1,0,3,2022
1832,Phone,Electronics,2,46683.8,4,93367.6,2022-01-03 04:00:00,Mumbai,Card,1,0,4,2022
1819,Monitor,Electronics,2,20510.47,5,41020.95,2022-01-03 05:00:00,Delhi,Card,1,0,5,2022
1746,Webcam,Electronics,2,2589.08,1,5178.16,2022-01-03 06:00:00,Delhi,Card,1,0,6,2022
